Time,Artist,Title,Length,Genre,Top Position
Early Morning,Red Hot Chili Peppers,Under the Bridge,268,Rock,2
Early Morning,Kanye West,Stronger,248,Hip-Hop,1
Early Morning,Madonna,Music,224,Pop,1
Early Morning,Faith No More,Everything's Ruined,274,Rock,28
Early Morning,Fatboy Slim,The Rockafeller Skank,239,Dance,6
Early Morning,Steve Miller Band,Abracadabra,214,Rock,2
Afternoon,will.i.am,Scream & Shout,284,Dance,1
Afternoon,Coolio,The Winner,240,Hip-Hop,53
Afternoon,Beastie Boys,Intergalactic,210,Rock,5
Afternoon,House Of Pain,Jump Around,217,Hip-Hop,32
Afternoon,Redbone,Come and Get Your Love,207,Rock,30
Afternoon,Pink Floyd,"Another Brick in the Wall, Pt. 2",239,Rock,21
Afternoon,T.I.,Bring Em Out,216,Hip-Hop,59
Afternoon,Tom Petty,I Won't Back Down,176,Rock,28
Afternoon,Stacey Q,Two of Hearts,237,Pop,87
Afternoon,Motley Crue,Kickstart My Heart,283,Rock,19
Afternoon,Jennifer Lopez,On The Floor,284,Pop,1
Afternoon,Tune-Yards,Water Fountain,184,Rock,19
Afternoon,Rage Against The Machine,Killing In The Name,314,Rock,1
Evening,AC/DC,Dirty Deeds Done Dirt Cheap,251,Rock,47
Evening,Vengaboys,We Like To Party! (The Vengabus),221,Pop,3
Evening,Janet Jackson,Miss You Much,252,Pop,22
Evening,Billy Talent,Rusted From the Rain,253,Rock,59
Evening,Wu-Tang-Clan,Can It Be All so Simple,259,Hip-Hop,0
Evening,Chaka Khan,I'm Every Woman,248,Soul,11
Evening,D'Angelo,I Found My Smile Again,240,Soul,0
Evening,Rick James,Super Freak,204,Rock,70
Evening,James Brown,Papa's Got A Brand New Bag,115,Rock,25
Evening,Michel Fugain,On laisse tous un jour,180,French,0
Evening,Rihanna,Don't Stop The Music,267,Pop,4
Evening,Duran Duran,Girls on Film,207,Pop,5
Evening,DJ Jazzy Jeff & The Fresh Prince,The Fresh Prince of Bel-Air,172,Hip-Hop,0
Evening,Nirvana,About A Girl,217,Rock,32
Evening,The Commitments,Mustang Sally,240,Rock,63
Evening,Madonna,Hung Up,336,Pop,1
